NRKARTY;DATAW;MASA;JEDN;FIRMA;NR_KLIENTA;NR_ODPADU;NR_MAGW
28/1W/2006;26.01.2006;6,000;Mg.;1;2 013;579;2 934
29/1W/2006;02.02.2006;7,560;Mg.;1;2 013;579;2 935
30/1W/2006;10.01.2006;3,620;Mg.;1;3 016;579;2 936
31/1W/2006;17.01.2006;2,030;Mg.;1;3 016;579;2 937
32/1W/2006;13.01.2006;11,300;Mg.;1;1 756;570;2 938
33/1W/2006;04.01.2006;16,460;Mg.;1;324;570;2 939
34/1W/2006;10.01.2006;9,890;Mg.;1;324;570;2 940
35/1W/2006;12.01.2006;6,940;Mg.;1;324;570;2 941
36/1W/2006;14.01.2006;3,280;Mg.;1;324;570;2 942
37/1W/2006;18.01.2006;8,130;Mg.;1;324;570;2 943
38/1W/2006;16.02.2006;0,980;Mg.;1;2 001;579;2 944
39/1W/2006;06.02.2006;5,760;Mg.;1;2 001;579;2 945
40/1W/2006;09.02.2006;6,720;Mg.;1;2 013;579;2 946
41/1W/2006;31.01.2006;50,000;Mg.;1;741;564;2 947
42/1W/2006;31.01.2006;28,000;Mg.;1;741;565;2 948
43/1W/2006;03.02.2006;18,140;Mg.;1;2 514;564;2 949
44/1W/2006;06.02.2006;17,660;Mg.;1;2 514;564;2 950
45/1W/2006;09.02.2006;21,340;Mg.;1;2 514;564;2 951
46/1W/2006;13.02.2006;20,220;Mg.;1;2 514;564;2 952
48/1W/2006;17.02.2006;0,000;Mg.;1;2 041;565;2 956
49/1W/2006;16.02.2006;6,620;Mg.;1;1 763;565;2 957
50/1W/2006;16.02.2006;10,280;Mg.;1;2 013;579;2 958
51/1W/2006;21.02.2006;1,860;Mg.;1;313;565;2 959
52/1W/2006;08.02.2006;8,640;Mg.;1;1 897;565;2 960
2/0W/2006;03.01.2006;6,240;Mg.;0;1 539;710;2 961
53/1W/2006;09.01.2006;6,180;Mg.;1;2 001;579;2 962
3/0W/2006;04.01.2006;3,240;Mg.;0;1 539;682;2 963
4/0W/2006;09.01.2006;3,620;Mg.;0;1 539;576;2 964
5/0W/2006;09.01.2006;2,000;Mg.;0;1 539;710;2 965
6/0W/2006;01.02.2006;7,180;Mg.;0;1 539;576;2 966
7/0W/2006;01.02.2006;7,200;Mg.;0;1 539;576;2 967
8/0W/2006;02.02.2006;5,020;Mg.;0;1 539;576;2 968
9/0W/2006;02.02.2006;4,840;Mg.;0;1 539;576;2 969
10/0W/2006;02.02.2006;8,460;Mg.;0;1 539;576;2 970
11/0W/2006;03.02.2006;5,540;Mg.;0;1 539;576;2 971
12/0W/2006;06.02.2006;0,720;Mg.;0;1 539;576;2 972
13/0W/2006;06.02.2006;3,500;Mg.;0;1 539;682;2 973
14/0W/2006;06.02.2006;5,980;Mg.;0;1 539;576;2 974
15/0W/2006;06.02.2006;2,100;Mg.;0;1 539;688;2 975
16/0W/2006;06.02.2006;4,360;Mg.;0;1 539;576;2 976
17/0W/2006;07.02.2006;11,360;Mg.;0;1 539;612;2 977
18/0W/2006;08.02.2006;12,660;Mg.;0;1 539;612;2 978
19/0W/2006;10.02.2006;7,700;Mg.;0;1 539;612;2 979
20/0W/2006;14.02.2006;9,140;Mg.;0;1 539;612;2 980
21/0W/2006;15.02.2006;3,180;Mg.;0;1 539;576;2 981
22/0W/2006;20.02.2006;16,360;Mg.;0;1 539;576;2 982
23/0W/2006;21.02.2006;1,920;Mg.;0;1 539;576;2 983
24/0W/2006;21.02.2006;5,620;Mg.;0;1 539;576;2 984
25/0W/2006;22.02.2006;19,661;Mg.;0;1 539;576;2 985
26/0W/2006;02.01.2006;3,420;Mg.;0;2 000;708;2 986
27/0W/2006;02.01.2006;2,000;Mg.;0;2 000;603;2 987
28/0W/2006;25.01.2006;0,620;Mg.;0;643;594;2 988
29/0W/2006;10.01.2006;1,090;Mg.;0;643;594;2 989
30/0W/2006;04.01.2006;3,100;Mg.;0;1 128;520;2 990
31/0W/2006;04.01.2006;5,230;Mg.;0;1 128;525;2 991
32/0W/2006;04.01.2006;1,307;Mg.;0;1 128;529;2 992
33/0W/2006;04.01.2006;15,030;Mg.;0;1 128;538;2 993
34/0W/2006;04.01.2006;1,513;Mg.;0;1 128;531;2 994
35/0W/2006;01.02.2006;1,800;Mg.;0;1 128;520;2 995
36/0W/2006;01.02.2006;5,063;Mg.;0;1 128;522;2 996
37/0W/2006;01.02.2006;2,160;Mg.;0;1 128;538;2 997
38/0W/2006;01.02.2006;17,897;Mg.;0;1 128;531;2 998
39/0W/2006;03.01.2006;9,040;Mg.;0;1 832;567;2 999
40/0W/2006;06.01.2006;10,961;Mg.;0;1 832;814;3 000
41/0W/2006;13.01.2006;9,962;Mg.;0;1 832;567;3 001
42/0W/2006;25.01.2006;9,380;Mg.;0;1 832;567;3 002
43/0W/2006;08.02.2006;8,351;Mg.;0;1 832;567;3 003
44/0W/2006;28.01.2006;4,250;Mg.;0;2 342;671;3 004
45/0W/2006;28.01.2006;6,270;Mg.;0;2 342;702;3 005
46/0W/2006;30.01.2006;5,000;Mg.;0;2 342;688;3 006
47/0W/2006;16.02.2006;27,881;Mg.;0;641;548;3 007
48/0W/2006;17.02.2006;27,060;Mg.;0;641;548;3 008
49/0W/2006;20.02.2006;4 000,000;Szt.;0;67;604;3 009
50/0W/2006;20.02.2006;0,260;Mg.;0;67;604;3 010
51/0W/2006;20.02.2006;8,818;Mg.;0;1 832;567;3 011
52/0W/2006;11.01.2006;6,145;Mg.;0;827;564;3 012
53/0W/2006;11.01.2006;3,135;Mg.;0;827;565;3 013
54/0W/2006;11.01.2006;31,219;Mg.;0;827;570;3 014
55/0W/2006;11.01.2006;0,020;Mg.;0;827;579;3 015
56/0W/2006;30.01.2006;3,018;Mg.;0;827;564;3 016
57/0W/2006;31.01.2006;18,947;Mg.;0;827;564;3 017
58/0W/2006;31.01.2006;3,300;Mg.;0;827;565;3 018
59/0W/2006;31.01.2006;7,580;Mg.;0;827;570;3 019
60/0W/2006;31.01.2006;0,400;Mg.;0;827;579;3 020
61/0W/2006;31.01.2006;11,558;Mg.;0;827;579;3 021
62/0W/2006;13.02.2006;18,860;Mg.;0;827;564;3 022
63/0W/2006;13.02.2006;6,085;Mg.;0;827;565;3 023
64/0W/2006;20.02.2006;9,090;Mg.;0;827;564;3 024
65/0W/2006;20.02.2006;0,490;Mg.;0;827;565;3 025
66/0W/2006;20.02.2006;0,560;Mg.;0;827;579;3 026
67/0W/2006;21.02.2006;2,360;Mg.;0;827;564;3 027
68/0W/2006;21.02.2006;9,576;Mg.;0;827;565;3 028
69/0W/2006;21.02.2006;0,120;Mg.;0;827;579;3 029
70/0W/2006;23.02.2006;0,354;Mg.;0;827;564;3 030
71/0W/2006;23.02.2006;1,349;Mg.;0;827;565;3 031
72/0W/2006;24.02.2006;10,160;Mg.;0;827;570;3 032
73/0W/2006;24.02.2006;3,620;Mg.;0;827;564;3 033
74/0W/2006;24.02.2006;1,540;Mg.;0;827;565;3 034
75/0W/2006;24.02.2006;2,458;Mg.;0;827;564;3 035
76/0W/2006;24.02.2006;1,410;Mg.;0;827;565;3 036
77/0W/2006;24.02.2006;0,120;Mg.;0;827;579;3 037
54/1W/2006;26.01.2006;16,360;Mg.;1;324;570;3 038
55/1W/2006;30.01.2006;9,880;Mg.;1;324;570;3 039
78/0W/2006;20.02.2006;0,100;Mg.;0;1 718;611;3 040
79/0W/2006;20.02.2006;0,400;Mg.;0;1 718;621;3 041
80/0W/2006;20.02.2006;0,150;Mg.;0;1 718;622;3 042
81/0W/2006;20.02.2006;0,348;Mg.;0;1 718;623;3 043
82/0W/2006;13.02.2006;2,265;Mg.;0;2 423;524;3 044
83/0W/2006;13.02.2006;3,895;Mg.;0;2 423;898;3 045
84/0W/2006;27.02.2006;9,070;Mg.;0;2 423;898;3 046
85/0W/2006;24.02.2006;4,200;Mg.;0;1 832;567;3 047
56/1W/2006;01.02.2006;9,030;Mg.;1;324;570;3 048
57/1W/2006;06.02.2006;7,370;Mg.;1;324;570;3 049
58/1W/2006;08.02.2006;5,510;Mg.;1;324;570;3 050
59/1W/2006;13.02.2006;16,490;Mg.;1;324;570;3 051
86/0W/2006;14.02.2006;1,800;Mg.;0;569;389;3 052
87/0W/2006;13.02.2006;6,478;Mg.;0;3 073;589;3 053
88/0W/2006;13.02.2006;13,722;Mg.;0;3 073;590;3 054
60/1W/2006;15.02.2006;12,620;Mg.;1;1 756;570;3 055
61/1W/2006;20.02.2006;4,220;Mg.;1;2 594;564;3 056
62/1W/2006;07.02.2006;0,400;Mg.;1;1 891;565;3 057
63/1W/2006;20.02.2006;7,950;Mg.;1;1 897;565;3 058
64/1W/2006;23.02.2006;23,720;Mg.;1;2 514;564;3 059
89/0W/2006;09.02.2006;2,000;Mg.;0;1 128;522;3 060
90/0W/2006;09.02.2006;0,630;Mg.;0;1 128;525;3 061
91/0W/2006;09.02.2006;0,843;Mg.;0;1 128;529;3 062
92/0W/2006;09.02.2006;19,637;Mg.;0;1 128;531;3 063
115/1W/2006;04.04.2006;18,400;Mg.;1;1 756;570;3 373
93/0W/2006;27.02.2006;3,670;Mg.;0;1 050;473;3 064
94/0W/2006;27.02.2006;11,540;Mg.;0;1 050;256;3 065
65/1W/2006;15.02.2006;19,460;Mg.;1;2 079;564;3 066
66/1W/2006;23.02.2006;11,480;Mg.;1;2 079;564;3 067
95/0W/2006;16.02.2006;23,340;Mg.;0;1 128;531;3 068
96/0W/2006;02.01.2006;0,144;Mg.;0;644;140;3 069
97/0W/2006;02.01.2006;2,580;Mg.;0;644;271;3 070
98/0W/2006;02.01.2006;1,300;Mg.;0;644;276;3 071
99/0W/2006;02.01.2006;1,300;Mg.;0;644;277;3 072
100/0W/2006;02.01.2006;1,575;Mg.;0;644;330;3 073
101/0W/2006;02.01.2006;3,000;Mg.;0;644;345;3 074
102/0W/2006;02.01.2006;2,500;Mg.;0;644;512;3 075
103/0W/2006;02.01.2006;1,860;Mg.;0;644;564;3 076
104/0W/2006;02.01.2006;1,536;Mg.;0;644;565;3 077
105/0W/2006;02.01.2006;1,830;Mg.;0;644;566;3 078
106/0W/2006;02.01.2006;1,075;Mg.;0;644;568;3 079
107/0W/2006;02.01.2006;2,420;Mg.;0;644;271;3 080
108/0W/2006;02.01.2006;3,700;Mg.;0;644;276;3 081
109/0W/2006;02.01.2006;3,700;Mg.;0;644;277;3 082
110/0W/2006;02.01.2006;1,000;Mg.;0;644;330;3 083
111/0W/2006;02.01.2006;3,500;Mg.;0;644;512;3 084
112/0W/2006;02.01.2006;3,320;Mg.;0;644;675;3 085
113/0W/2006;02.01.2006;2,560;Mg.;0;644;651;3 086
114/0W/2006;03.01.2006;0,192;Mg.;0;644;598;3 087
115/0W/2006;03.01.2006;3,701;Mg.;0;644;594;3 088
116/0W/2006;03.01.2006;2,500;Mg.;0;644;277;3 089
117/0W/2006;03.01.2006;2,500;Mg.;0;644;271;3 090
118/0W/2006;03.01.2006;2,510;Mg.;0;644;330;3 091
119/0W/2006;03.01.2006;5,000;Mg.;0;644;568;3 092
120/0W/2006;05.01.2006;1,500;Mg.;0;644;271;3 093
121/0W/2006;05.01.2006;1,600;Mg.;0;644;277;3 094
122/0W/2006;05.01.2006;5,490;Mg.;0;644;330;3 095
123/0W/2006;05.01.2006;0,830;Mg.;0;644;345;3 096
124/0W/2006;05.01.2006;0,300;Mg.;0;644;355;3 097
125/0W/2006;05.01.2006;0,002;Mg.;0;644;370;3 098
126/0W/2006;05.01.2006;0,500;Mg.;0;644;376;3 099
127/0W/2006;05.01.2006;0,098;Mg.;0;644;511;3 100
128/0W/2006;05.01.2006;1,820;Mg.;0;644;571;3 101
129/0W/2006;05.01.2006;4,000;Mg.;0;644;565;3 102
130/0W/2006;05.01.2006;2,160;Mg.;0;644;564;3 103
131/0W/2006;09.01.2006;1,000;Mg.;0;644;271;3 104
132/0W/2006;09.01.2006;3,000;Mg.;0;644;277;3 105
133/0W/2006;09.01.2006;5,500;Mg.;0;644;330;3 106
134/0W/2006;09.01.2006;0,500;Mg.;0;644;345;3 107
135/0W/2006;09.01.2006;2,410;Mg.;0;644;595;3 108
136/0W/2006;09.01.2006;2,525;Mg.;0;644;594;3 109
137/0W/2006;09.01.2006;3,213;Mg.;0;644;612;3 110
138/0W/2006;09.01.2006;2,052;Mg.;0;644;651;3 111
139/0W/2006;09.01.2006;2,205;Mg.;0;644;855;3 112
140/0W/2006;09.01.2006;0,400;Mg.;0;644;830;3 113
141/0W/2006;09.01.2006;2,000;Mg.;0;644;594;3 114
142/0W/2006;09.01.2006;3,000;Mg.;0;644;571;3 115
143/0W/2006;09.01.2006;10,426;Mg.;0;644;568;3 116
144/0W/2006;09.01.2006;0,069;Mg.;0;644;564;3 117
145/0W/2006;11.01.2006;1,520;Mg.;0;769;330;3 118
146/0W/2006;11.01.2006;2,380;Mg.;0;769;651;3 119
147/0W/2006;11.01.2006;1,850;Mg.;0;769;594;3 120
148/0W/2006;11.01.2006;2,320;Mg.;0;769;576;3 121
149/0W/2006;11.01.2006;1,960;Mg.;0;769;564;3 122
150/0W/2006;11.01.2006;1,340;Mg.;0;769;565;3 123
151/0W/2006;11.01.2006;2,830;Mg.;0;769;568;3 124
152/0W/2006;11.01.2006;2,100;Mg.;0;769;566;3 125
153/0W/2006;12.01.2006;5,000;Mg.;0;769;271;3 126
154/0W/2006;12.01.2006;3,000;Mg.;0;769;277;3 127
155/0W/2006;12.01.2006;2,980;Mg.;0;769;330;3 128
156/0W/2006;12.01.2006;2,811;Mg.;0;769;564;3 129
157/0W/2006;12.01.2006;1,660;Mg.;0;769;565;3 130
158/0W/2006;12.01.2006;2,149;Mg.;0;769;568;3 131
159/0W/2006;16.01.2006;5,000;Mg.;0;769;330;3 132
160/0W/2006;16.01.2006;3,150;Mg.;0;769;594;3 133
161/0W/2006;16.01.2006;6,590;Mg.;0;769;855;3 134
162/0W/2006;16.01.2006;3,410;Mg.;0;769;855;3 135
163/0W/2006;16.01.2006;1,683;Mg.;0;769;710;3 136
164/0W/2006;16.01.2006;0,540;Mg.;0;769;688;3 137
165/0W/2006;16.01.2006;0,983;Mg.;0;769;682;3 138
166/0W/2006;16.01.2006;0,951;Mg.;0;769;681;3 139
167/0W/2006;16.01.2006;2,158;Mg.;0;769;651;3 140
168/0W/2006;16.01.2006;3,000;Mg.;0;769;594;3 141
169/0W/2006;16.01.2006;2,900;Mg.;0;769;566;3 142
170/0W/2006;16.01.2006;2,955;Mg.;0;769;330;3 143
171/0W/2006;18.01.2006;2,745;Mg.;0;769;345;3 144
172/0W/2006;18.01.2006;2,350;Mg.;0;769;594;3 145
173/0W/2006;18.01.2006;2,380;Mg.;0;769;564;3 146
174/0W/2006;18.01.2006;1,595;Mg.;0;769;565;3 147
175/0W/2006;18.01.2006;1,300;Mg.;0;769;568;3 148
176/0W/2006;18.01.2006;2,850;Mg.;0;769;576;3 149
177/0W/2006;18.01.2006;4,620;Mg.;0;769;651;3 150
67/1W/2006;17.02.2006;4,200;Mg.;1;2 708;565;3 151
68/1W/2006;07.03.2006;4,720;Mg.;1;1 763;565;3 152
69/1W/2006;17.02.2006;2,740;Mg.;1;3 110;565;3 153
116/1W/2006;04.04.2006;4,100;Mg.;1;1 756;570;3 374
178/0W/2006;08.03.2006;6,800;Mg.;0;1 832;814;3 154
179/0W/2006;08.03.2006;24,400;Mg.;0;3 073;589;3 155
70/1W/2006;15.02.2006;21,780;Mg.;1;324;570;3 156
71/1W/2006;03.03.2006;20,600;Mg.;1;2 514;564;3 157
180/0W/2006;01.02.2006;33,605;Mg.;0;827;570;3 158
72/1W/2006;17.02.2006;10,400;Mg.;1;324;570;3 159
73/1W/2006;20.02.2006;6,610;Mg.;1;324;570;3 160
74/1W/2006;20.02.2006;20,340;Mg.;1;324;570;3 161
75/1W/2006;28.02.2006;26,920;Mg.;1;124;579;3 162
76/1W/2006;17.02.2006;4,660;Mg.;1;396;565;3 163
77/1W/2006;01.03.2006;11,480;Mg.;1;2 708;565;3 164
78/1W/2006;13.03.2006;8,760;Mg.;1;2 013;579;3 165
79/1W/2006;01.03.2006;2,210;Mg.;1;396;565;3 166
80/1W/2006;14.03.2006;2,400;Mg.;1;396;565;3 167
81/1W/2006;15.03.2006;7,800;Mg.;1;2 708;565;3 168
82/1W/2006;14.03.2006;18,660;Mg.;1;2 514;564;3 169
181/0W/2006;17.03.2006;0,700;Mg.;0;569;390;3 170
182/0W/2006;13.03.2006;26,140;Mg.;0;641;548;3 171
83/1W/2006;15.03.2006;2,400;Mg.;1;396;565;3 172
183/0W/2006;20.03.2006;0,260;Mg.;0;1 539;673;3 173
184/0W/2006;20.03.2006;0,380;Mg.;0;1 539;576;3 174
185/0W/2006;20.03.2006;0,500;Mg.;0;1 539;801;3 175
186/0W/2006;20.03.2006;2,580;Mg.;0;1 539;699;3 176
187/0W/2006;20.03.2006;7,740;Mg.;0;1 539;682;3 177
188/0W/2006;20.03.2006;10,000;Mg.;0;2 424;500;3 178
189/0W/2006;20.03.2006;17,300;Mg.;0;2 424;545;3 179
190/0W/2006;20.03.2006;16,970;Mg.;0;1 050;472;3 180
191/0W/2006;04.02.2006;14,880;Mg.;0;655;626;3 182
192/0W/2006;18.03.2006;15,120;Mg.;0;655;626;3 183
193/0W/2006;27.02.2006;5,890;Mg.;0;827;564;3 184
194/0W/2006;27.02.2006;1,410;Mg.;0;827;565;3 185
195/0W/2006;14.03.2006;8,350;Mg.;0;827;564;3 186
196/0W/2006;14.03.2006;1,720;Mg.;0;827;565;3 187
197/0W/2006;14.03.2006;46,285;Mg.;0;827;570;3 188
198/0W/2006;14.03.2006;3,730;Mg.;0;827;564;3 189
199/0W/2006;14.03.2006;1,740;Mg.;0;827;565;3 190
200/0W/2006;14.03.2006;23,064;Mg.;0;827;564;3 191
201/0W/2006;14.03.2006;4,916;Mg.;0;827;565;3 192
202/0W/2006;14.03.2006;4,882;Mg.;0;827;564;3 193
203/0W/2006;14.03.2006;1,100;Mg.;0;827;565;3 194
204/0W/2006;14.03.2006;0,060;Mg.;0;827;579;3 195
205/0W/2006;16.03.2006;7,308;Mg.;0;827;579;3 196
206/0W/2006;25.01.2006;3,283;Mg.;0;769;271;3 197
207/0W/2006;25.01.2006;2,656;Mg.;0;769;276;3 198
208/0W/2006;25.01.2006;2,165;Mg.;0;769;330;3 199
209/0W/2006;25.01.2006;5,916;Mg.;0;769;565;3 200
210/0W/2006;01.02.2006;0,230;Mg.;0;769;81;3 201
211/0W/2006;01.02.2006;3,000;Mg.;0;769;271;3 202
212/0W/2006;01.02.2006;0,580;Mg.;0;769;277;3 203
213/0W/2006;01.02.2006;1,980;Mg.;0;769;345;3 204
214/0W/2006;01.02.2006;3,650;Mg.;0;769;351;3 205
215/0W/2006;01.02.2006;0,300;Mg.;0;769;355;3 206
216/0W/2006;01.02.2006;0,250;Mg.;0;769;367;3 207
217/0W/2006;01.02.2006;1,410;Mg.;0;769;378;3 208
218/0W/2006;01.02.2006;1,862;Mg.;0;769;511;3 209
219/0W/2006;01.02.2006;2,758;Mg.;0;769;568;3 210
220/0W/2006;02.02.2006;3,500;Mg.;0;769;271;3 211
221/0W/2006;02.02.2006;3,000;Mg.;0;769;351;3 212
222/0W/2006;02.02.2006;0,026;Mg.;0;769;370;3 213
223/0W/2006;02.02.2006;0,504;Mg.;0;769;376;3 214
224/0W/2006;02.02.2006;0,200;Mg.;0;769;384;3 215
225/0W/2006;02.02.2006;8,603;Mg.;0;769;565;3 216
226/0W/2006;02.02.2006;2,327;Mg.;0;769;566;3 217
227/0W/2006;06.02.2006;0,610;Mg.;0;769;276;3 218
228/0W/2006;06.02.2006;2,589;Mg.;0;769;330;3 219
229/0W/2006;06.02.2006;0,878;Mg.;0;769;607;3 220
230/0W/2006;06.02.2006;0,240;Mg.;0;769;271;3 221
231/0W/2006;06.02.2006;2,300;Mg.;0;769;594;3 222
232/0W/2006;06.02.2006;1,580;Mg.;0;769;566;3 223
233/0W/2006;06.02.2006;2,680;Mg.;0;769;564;3 224
234/0W/2006;06.02.2006;3,713;Mg.;0;769;565;3 225
235/0W/2006;06.02.2006;3,250;Mg.;0;769;568;3 226
236/0W/2006;09.02.2006;0,495;Mg.;0;769;277;3 227
237/0W/2006;09.02.2006;1,950;Mg.;0;769;345;3 228
238/0W/2006;09.02.2006;0,900;Mg.;0;769;355;3 229
239/0W/2006;09.02.2006;0,500;Mg.;0;769;376;3 230
240/0W/2006;09.02.2006;1,785;Mg.;0;769;496;3 231
241/0W/2006;09.02.2006;0,330;Mg.;0;769;587;3 232
242/0W/2006;09.02.2006;4,380;Mg.;0;769;651;3 233
243/0W/2006;09.02.2006;0,793;Mg.;0;769;653;3 234
244/0W/2006;09.02.2006;2,900;Mg.;0;769;803;3 235
245/0W/2006;09.02.2006;3,090;Mg.;0;769;841;3 236
246/0W/2006;10.02.2006;0,120;Mg.;0;769;855;3 237
247/0W/2006;10.02.2006;0,220;Mg.;0;769;856;3 238
248/0W/2006;10.02.2006;0,130;Mg.;0;769;881;3 239
249/0W/2006;10.02.2006;0,200;Mg.;0;769;841;3 240
250/0W/2006;10.02.2006;2,050;Mg.;0;769;651;3 241
251/0W/2006;10.02.2006;0,100;Mg.;0;769;610;3 242
252/0W/2006;10.02.2006;1,484;Mg.;0;769;607;3 243
253/0W/2006;10.02.2006;3,098;Mg.;0;769;605;3 244
254/0W/2006;10.02.2006;4,722;Mg.;0;769;594;3 245
255/0W/2006;10.02.2006;0,246;Mg.;0;769;511;3 246
256/0W/2006;10.02.2006;2,350;Mg.;0;769;565;3 247
257/0W/2006;10.02.2006;3,000;Mg.;0;769;564;3 248
258/0W/2006;14.02.2006;4,190;Mg.;0;769;271;3 249
259/0W/2006;14.02.2006;0,088;Mg.;0;769;276;3 250
260/0W/2006;14.02.2006;0,140;Mg.;0;769;330;3 251
261/0W/2006;14.02.2006;3,415;Mg.;0;769;595;3 252
262/0W/2006;14.02.2006;0,099;Mg.;0;769;597;3 253
263/0W/2006;14.02.2006;1,000;Mg.;0;769;624;3 254
264/0W/2006;14.02.2006;2,950;Mg.;0;769;651;3 255
265/0W/2006;14.02.2006;0,400;Mg.;0;769;830;3 256
266/0W/2006;14.02.2006;6,903;Mg.;0;769;566;3 257
267/0W/2006;14.02.2006;0,715;Mg.;0;769;565;3 258
405/1W/2008;20.05.2008;6,260;Mg.;1;1 431;565;9 024
268/0W/2006;16.02.2006;2,500;Mg.;0;769;594;3 259
269/0W/2006;16.02.2006;5,000;Mg.;0;769;651;3 260
270/0W/2006;16.02.2006;0,194;Mg.;0;769;763;3 261
271/0W/2006;16.02.2006;5,428;Mg.;0;769;565;3 262
272/0W/2006;16.02.2006;4,498;Mg.;0;769;571;3 263
273/0W/2006;21.03.2006;25,060;Mg.;0;641;548;3 264
274/0W/2006;21.03.2006;3,046;Mg.;0;1 050;472;3 265
275/0W/2006;21.03.2006;11,174;Mg.;0;1 050;473;3 266
276/0W/2006;20.02.2006;0,092;Mg.;0;769;143;3 267
277/0W/2006;20.02.2006;0,019;Mg.;0;769;151;3 268
278/0W/2006;20.02.2006;2,200;Mg.;0;769;247;3 269
279/0W/2006;20.02.2006;2,447;Mg.;0;769;271;3 270
280/0W/2006;20.02.2006;2,143;Mg.;0;769;276;3 271
281/0W/2006;20.02.2006;0,163;Mg.;0;769;277;3 272
282/0W/2006;20.02.2006;2,140;Mg.;0;769;345;3 273
283/0W/2006;20.02.2006;0,600;Mg.;0;769;351;3 274
284/0W/2006;20.02.2006;0,300;Mg.;0;769;355;3 275
285/0W/2006;20.02.2006;0,400;Mg.;0;769;357;3 276
286/0W/2006;20.02.2006;2,300;Mg.;0;769;360;3 277
287/0W/2006;20.02.2006;2,400;Mg.;0;769;507;3 278
288/0W/2006;20.02.2006;2,986;Mg.;0;769;564;3 279
289/0W/2006;20.02.2006;2,000;Mg.;0;769;247;3 280
290/0W/2006;20.02.2006;2,500;Mg.;0;769;271;3 281
291/0W/2006;20.02.2006;3,000;Mg.;0;769;345;3 282
292/0W/2006;20.02.2006;0,400;Mg.;0;769;376;3 283
293/0W/2006;20.02.2006;0,100;Mg.;0;769;384;3 284
294/0W/2006;20.02.2006;0,200;Mg.;0;769;402;3 285
295/0W/2006;20.02.2006;2,000;Mg.;0;769;507;3 286
296/0W/2006;20.02.2006;0,052;Mg.;0;769;587;3 287
297/0W/2006;20.02.2006;2,183;Mg.;0;769;595;3 288
298/0W/2006;20.02.2006;5,431;Mg.;0;769;594;3 289
299/0W/2006;20.02.2006;1,094;Mg.;0;769;571;3 290
300/0W/2006;23.02.2006;2,120;Mg.;0;769;345;3 291
301/0W/2006;23.02.2006;0,576;Mg.;0;769;271;3 292
302/0W/2006;23.02.2006;2,700;Mg.;0;769;594;3 293
303/0W/2006;23.02.2006;0,500;Mg.;0;769;576;3 294
304/0W/2006;23.02.2006;1,280;Mg.;0;769;564;3 295
305/0W/2006;23.02.2006;5,324;Mg.;0;769;565;3 296
306/0W/2006;23.02.2006;3,850;Mg.;0;769;568;3 297
307/0W/2006;23.02.2006;2,300;Mg.;0;769;566;3 298
308/0W/2006;23.02.2006;1,250;Mg.;0;769;571;3 299
309/0W/2006;27.02.2006;1,500;Mg.;0;769;271;3 300
310/0W/2006;27.02.2006;2,366;Mg.;0;769;345;3 301
