NAZWA_SKROCONA;MIEJSCOWOSC;ULICA;NR_KLIENTA
JANIKOWO104;JANIKOWO;PRZEMYS£OWA;104
LUBICZ105;LUBICZ;TORU—SKA;105
CIECHOCINEK106;CIECHOCINEK;BEMA;106
CZARNK”W107;CZARNK”W;LEåNA;107
BYDGOSZCZ108;BYDGOSZCZ;NIKLOWA;108
CZARNK”W109;CZARNK”W;NOWA;109
PI£A110;PI£A;LIPOWA;110
ZAMOå∆7325;ZAMOå∆;åWIERKOWA;7†325
åWIECIE1208;åWIECIE;LASKOWICKA;1†208
BYDGOSZCZ111;BYDGOSZCZ;MOKRA;111
TORU—112;TORU—;POZNA—SKA;112
ØERNIKI5606;ØERNIKI;SK£ADOWA;5†606
HUTA113;HUTA;POLNA;113
CHECH£O1776;CHECH£O;TOROWA;1†776
GNIEWKOWO114;GNIEWKOWO;MICHA£OWO;114
BYDGOSZCZ115;BYDGOSZCZ;MODRZEWIOWA;115
åWIECIE1209;åWIECIE;BYDGOSKA;1†209
BYDGOSZCZ1210;BYDGOSZCZ;KOSZALI—SKA;1†210
KOSZALIN2024;KOSZALIN;4 MARCA;2†024
POZNA—117;POZNA—;GROBLA;117
KOSZALIN7270;KOSZALIN;LNIANA;7†270
W£OC£AWEK118;W£OC£AWEK;TORU—SKA;118
W£OC£AWEK119;W£OC£AWEK;OKR ØNA;119
SZPETAL G”RNY1777;SZPETAL G”RNY;SKRAJNA;1†777
Z£OTORIA120;Z£OTORIA;LIPOWA;120
TORU—121;TORU—;TURYSTYCZNA;121
PI£A122;PI£A;WAPIENNA;122
B•DECZ-WYSOKA123;B•DECZ-WYSOKA;GMINA WYSOKA;123
KOSZALIN1783;KOSZALIN;LNIANA;1†783
KOCIERZYNA7326;KOCIERZYNA;PLEBANKA;7†326
PIECHCIN124;PIECHCIN;BIELAWY;124
WA£CZ125;WA£CZ;BYDGOSKA;125
BYDGOSZCZ126;BYDGOSZCZ;ENERGETYCZNA;126
NOWA WIEå WIELKA7380;NOWA WIEå WIELKA;WOJSKA POLSKIEGO;7†380
BZOWO127;BZOWO;;127
åWIECIE128;åWIECIE;SULNOWO;128
åWIECIE129;åWIECIE;WITOSA;129
PI£A130;PI£A;LUTYCKA;130
PI£A131;PI£A;ØELE—SKIEGO;131
PI£A132;PI£A;LIPOWA;132
PI£A133;PI£A;WYSPIA—SKIEGO;133
POZNA—7002;POZNA—;SZARYCH SZEREG”W;7†002
PI£A7003;PI£A;SK£ADOWA;7†003
PI£A134;PI£A;STASZICA;134
TORU—135;TORU—;Ø”£KIEWSKIEGO;135
W£OC£AWEK136;W£OC£AWEK;TORU—SKA;136
BYDGOSZCZ7184;BYDGOSZCZ;sardynkowa;7†184
POZNA—137;POZNA—;GDY—SKA;137
POZNA—138;POZNA—;D•BROWSKIEGO;138
ROJEWO139;ROJEWO;JEZUICKA STRUGA;139
W£OC£AWEK7154;W£OC£AWEK;LUNEWIL;7†154
NOWE MIASTO LUBAWSKIE140;NOWE MIASTO LUBAWSKIE;JAGIELO—SKA;140
BYDGOSZCZ141;BYDGOSZCZ;ZYGMUNTA AUGUSTA;141
Z£OT”W142;Z£OT”W;BOCZNA;142
BYDGOSZCZ1778;BYDGOSZCZ;GRUNWALDZKA;1†778
Z£OT”W143;Z£OT”W;ZA DWORCEM;143
RYPIN144;RYPIN;MLECZARSKA;144
W£OC£AWEK145;W£OC£AWEK;KULI—SKA;145
FABIANKI146;FABIANKI;UNIECHOWO;146
KRUSZWICA147;KRUSZWICA;NIEPODLEG£OåCI;147
OBORNIKI148;OBORNIKI;CZARNKOWSKA;148
PI£A149;PI£A;WIOSNY LUD”W;149
CZERWONAK150;CZERWONAK;SZKOLNA;150
NAK£O NAD NOTECI•2193;NAK£O NAD NOTECI•;MROTECKA;2†193
POZNA—151;POZNA—;KS. JAKUBA WUJKA;151
SUCHY LAS152;SUCHY LAS;OBORNICKA;152
WI CBORK153;WI CBORK;MICKIEWICZA;153
BYDGOSZCZ154;BYDGOSZCZ;FORDO—SKA;154
BYDGOSZCZ155;BYDGOSZCZ;LEåNA;155
KOWR”Z-£YSOMICE156;KOWR”Z-£YSOMICE;;156
BYDGOSZCZ157;BYDGOSZCZ;TORU—SKA;157
SZCZECIN7969;SZCZECIN;STRUGA;7†969
GNIEZNO158;GNIEZNO;SUROWIECKIEGO;158
S£AWNO159;S£AWNO;GRUDZIE— LAS;159
BARCIN160;BARCIN;PAKOSKA;160
BYDGOSZCZ7421;BYDGOSZCZ;WSCHODNIA;7†421
GNIEZNO161;GNIEZNO;WITKOWSKA;161
GRUDZI•DZ1211;GRUDZI•DZ;M.CURIE-SK£ODOWSKIEJ;1†211
GNIEZNO162;GNIEZNO;S£ONECZNA;162
PRZODKOWO7155;PRZODKOWO;GDA—SKA;7†155
BYDGOSZCZ163;BYDGOSZCZ;POWSTA—C”W WIELKOPOLSKICH;163
BYDGOSZCZ164;BYDGOSZCZ;FORDO—SKA;164
KONIN165;KONIN;WA£ TAREJWY;165
BYDGOSZCZ166;BYDGOSZCZ;MARCINKOWSKIEGO;166
£OBØENICA167;£OBØENICA;RZEMIEåLNICZA;167
PI£A168;PI£A;£•CZNA;168
PI£A169;PI£A;CHODKIEWICZA;169
PI£A170;PI£A;BYDGOSKA;170
W£OC£AWEK171;W£OC£AWEK;WYSOKA;171
SOLEC KUJAWSKI172;SOLEC KUJAWSKI;MAKOWISKA;172
TORU—173;TORU—;W£OC£AWSKA;173
LUBO—7216;LUBO—;D£UGA;7†216
W£OC£AWEK174;W£OC£AWEK;WIEJSKA;174
BYDGOSZCZ175;BYDGOSZCZ;PRZEMYS£OWA;175
INOWROC£AW 2176;INOWROC£AW 2;MARCINKOWO;176
TORU—1212;TORU—;D£UGA;1†212
BYDGOSZCZ177;BYDGOSZCZ;FORDO—SKA;177
BYDGOSZCZ1213;BYDGOSZCZ;WYåCIGOWA;1†213
BYDGOSZCZ179;BYDGOSZCZ;FORDO—SKA;179
GRUDZI•DZ180;GRUDZI•DZ;SZOSA TORU—SKA;180
GRUDZI•DZ181;GRUDZI•DZ;KARABINIER”W;181
NOWE MIASTO LUBAWSKIE182;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA;182
FABIANKI183;FABIANKI;SZPETAL G”RNY;183
WAPNO7456;WAPNO;åWIERCZEWSKIEGO;7†456
W£OC£AWEK1573;W£OC£AWEK;TORU—SKA;1†573
BYDGOSZCZ184;BYDGOSZCZ;SOLNA;184
TORU—185;TORU—;GRUDZI•DZKA;185
GDA—SK7156;GDA—SK;SIENNICKA;7†156
NOWA WIEå WIELKA186;NOWA WIEå WIELKA;PRZEMYS£OWA;186
BYDGOSZCZ1214;BYDGOSZCZ;WOJSKA POLSKIEGO;1†214
BYDGOSZCZ187;BYDGOSZCZ;CHEMICZNA;187
W£OC£AWEK7007;W£OC£AWEK;ROLNA;7†007
BYDGOSZCZ188;BYDGOSZCZ;RYNKOWSKA;188
TORU—189;TORU—;Ø”£KIEWSKIEGO;189
WRONKI190;WRONKI;MICKIEWICZA;190
POZNA—191;POZNA—;TARNOBRZESKA;191
WA£CZ192;WA£CZ;ZELGNIEWO;192
Z£OT”W193;Z£OT”W;CHOJNICKA;193
PI£A194;PI£A;W. KOSSAKA;194
INOWROC£AW195;INOWROC£AW;FABRYCZNA;195
£ASIN196;£ASIN;LIPOWA;196
BYDGOSZCZ197;BYDGOSZCZ;NASYPOWA;197
BYDGOSZCZ198;BYDGOSZCZ;FORDO—SKA;198
BYDGOSZCZ199;BYDGOSZCZ;SOLNA;199
BYDGOSZCZ200;BYDGOSZCZ;NAKIELSKA;200
I£AWA201;I£AWA;GRUNWALDZKA;201
BYDGOSZCZ202;BYDGOSZCZ;WSCHODNIA;202
GDA—SK-KOSZWA£Y7157;GDA—SK-KOSZWA£Y;GDA—SKA;7†157
TORU—203;TORU—;GEN.J”ZEFA DWERNICKIEGO;203
NAK£O N/NOTECI•204;NAK£O N/NOTECI•;POLNA;204
TORU—205;TORU—;POZNA—SKA;205
KSAWER”W £”DZKI7004;KSAWER”W £”DZKI;ZACHODNIA;7†004
KRUSZWICA206;KRUSZWICA;DROGA M£Y—SKA;206
åWIECIE207;åWIECIE;BYDGOSKA;207
GOLUB-DOBRZY—208;GOLUB-DOBRZY—;LEåNA;208
BYDGOSZCZ209;BYDGOSZCZ;KOBALTOWA;209
BYDGOSZCZ1771;BYDGOSZCZ;TORU—SKA;1†771
GRUDZI•DZ210;GRUDZI•DZ;WARY—SKIEGO;210
POB£OCIE WIELKIE7158;POB£OCIE WIELKIE;;7†158
S P”LNO KRAJE—SKIE211;S P”LNO KRAJE—SKIE;KOåCIUSZKI;211
TORU—212;TORU—;SIENKIEWICZA;212
NAK£O NAD NOTECI•1779;NAK£O NAD NOTECI•;PIASKOWA;1†779
BYDGOSZCZ7159;BYDGOSZCZ;PRZEMYS£OWA;7†159
TUCZNO213;TUCZNO;BYDGOSKA;213
åWIECIE214;åWIECIE;BYDGOSKA;214
GNIEZNO215;GNIEZNO;WESO£A;215
GDA—SK7160;GDA—SK;PO£ ØE;7†160
MIROS£AWICE1780;MIROS£AWICE;;1†780
BYDGOSZCZ216;BYDGOSZCZ;AL. JANA PAW£A II;216
£ASIN217;£ASIN;SZCZEPANKI;217
PI£A218;PI£A;PODCHOR•ØYCH;218
PI£A219;PI£A;£•CZNA;219
PI£A220;PI£A;WYPOCZYNKOWA;220
ALEKSANDR”W KUJAWSKI221;ALEKSANDR”W KUJAWSKI;CHOPINA;221
GDYNIA7185;GDYNIA;;7†185
BYDGOSZCZ222;BYDGOSZCZ;FABRYCZNA;222
TORU—1781;TORU—;CHROBREGO;1†781
POZNA—223;POZNA—;D•BROWSKIEGO;223
TORU—224;TORU—;POLNA;224
OSIELSKO225;OSIELSKO;GdaÒska;225
BIA£E B£OTA226;BIA£E B£OTA;BETONOWA;226
BYDGOSZCZ227;BYDGOSZCZ;ARMII KRAJOWEJ;227
KOSZALIN1215;KOSZALIN;BOH.WARSZAWY;1†215
GRUDZI•DZ229;GRUDZI•DZ;DWORCOWA;229
PRZECHLEWO1216;PRZECHLEWO;DWORCOWA;1†216
DOBRE KUJAWSKIE230;DOBRE KUJAWSKIE;FABRYCZNA;230
LNIANO231;LNIANO;OSTROWITE;231
GRAB”WNO-MIASTECZKO KRAJE—7955;GRAB”WNO-MIASTECZKO KRAJE—;;7†955
BYDGOSZCZ232;BYDGOSZCZ;ZYGMUNTA AUGUSTA;232
W£OC£AWEK233;W£OC£AWEK;HUTNICZA;233
CHODZIEØ234;CHODZIEØ;BUSZCZAKA;234
PI£A235;PI£A;åNIADECKICH;235
PI£A236;PI£A;LIPOWA;236
GNIEZNO237;GNIEZNO;S£ONECZNA;237
MALBORK2180;MALBORK;Daleka;2†180
BYDGOSZCZ238;BYDGOSZCZ;PILICKA;238
TORU—1217;TORU—;SZOSA CHE£MI—SKA;1†217
NOWA WIEå WIELKA240;NOWA WIEå WIELKA;PRZEMYS£OWA;240
W•GROWIEC1218;W•GROWIEC;£ GOWO;1†218
OSIEK  N/NOTECI•241;OSIEK  N/NOTECI•;LEåNA;241
BIA£E B£OTA242;BIA£E B£OTA;CIELE;242
BIA£E B£OTA243;BIA£E B£OTA;BETONOWA;243
MROCZA1784;MROCZA;£OBØENICKA;1†784
MOGILNO7164;MOGILNO;HALLERA;7†164
NOWA WIEå WIELKA7956;NOWA WIEå WIELKA;;7†956
POZNA—244;POZNA—;POPIELA;244
POZNA—245;POZNA—;KRA—COWA;245
åWIECIE246;åWIECIE;BYDGOSKA;246
BYDGOSZCZ247;BYDGOSZCZ;PRZEMYS£OWA;247
BYDGOSZCZ248;BYDGOSZCZ;DR. EMILA WARMI—SKIEGO;248
P£OCK249;P£OCK;CHEMIK”W;249
NOWE MIASTO N/WART•250;NOWE MIASTO N/WART•;KL KA;250
ALEKSANDR”W £”DZKI7008;ALEKSANDR”W £”DZKI;OGRODOWA;7†008
BYDGOSZCZ251;BYDGOSZCZ;PRODUKCYJNA;251
BYDGOSZCZ252;BYDGOSZCZ;KOBALTOWA;252
NOWA WIEå WIELKA253;NOWA WIEå WIELKA;PRZEMYS£OWA;253
JANOWIEC WIELKOPOLSKI254;JANOWIEC WIELKOPOLSKI;KOåCIUSZKI;254
NAK£O1224;NAK£O;NOWY åWIAT;1†224
GRUDZI•DZ256;GRUDZI•DZ;WARY—SKIEGO;256
BYDGOSZCZ257;BYDGOSZCZ;TORU—SKA;257
OSIELSKO258;OSIELSKO;SZOSA GDA—SKA;258
W£OC£AWEK1219;W£OC£AWEK;S PIA;1†219
W£OC£AWEK259;W£OC£AWEK;DUNINOWSKA;259
BYDGOSZCZ260;BYDGOSZCZ;WYZWOLENIA;260
ZAKRZEWO261;ZAKRZEWO;WOJ. POLSKIEGO;261
BYDGOSZCZ262;BYDGOSZCZ;GAJOWA;262
GRUDZI•DZ263;GRUDZI•DZ;NAUCZYCIELSKA;263
USTKA7174;USTKA;OSIEDLE L DOWO;7†174
BYDGOSZCZ264;BYDGOSZCZ;BARCI—SKA;264
BYDGOSZCZ265;BYDGOSZCZ;AL.JANA PAW£A II;265
GNIEWKOWO266;GNIEWKOWO;INOWROC£AWSKA;266
£ODè7387;£ODè;POPRZECZNA;7†387
GNIEWKOWO267;GNIEWKOWO;WOJSKA POLSKIEGO;267
BYDGOSZCZ268;BYDGOSZCZ;GRUNWALDZKA;268
RYNARZEWO269;RYNARZEWO;SZUBI—SKA;269
TORU—1785;TORU—;DWORCOWA;1†785
KROTOSZYN270;KROTOSZYN;BP M. KOZALA;270
NAK£O N/NOTECI•271;NAK£O N/NOTECI•;NOWA;271
INOWROC£AW272;INOWROC£AW;KS.P. WAWRZYNIAKA;272
LUBLIN273;LUBLIN;WROTKOWSKA;273
BYDGOSZCZ274;BYDGOSZCZ;KRASZEWSKIEGO;274
BYDGOSZCZ275;BYDGOSZCZ;UNII LUBELSKIEJ;275
DRZYCIM276;DRZYCIM;HOFFMANA;276
KIK”£7203;KIK”£;OGRODOWA;7†203
BYDGOSZCZ277;BYDGOSZCZ;ZAMOYSKIEGO;277
Z£OT”W278;Z£OT”W;KUJA—SKA;278
BYDGOSZCZ1220;BYDGOSZCZ;WIEJSKA;1†220
W£OC£AWEK280;W£OC£AWEK;TORU—SKA;280
W£OC£AWEK281;W£OC£AWEK;POLNA;281
TORUN3528;TORUN;Przelot 39;3†528
W£OC£AWEK282;W£OC£AWEK;KUJAWSKA;282
INOWROC£AW283;INOWROC£AW;DOJAZDOWA;283
BRZOZA284;BRZOZA;BYDGOSKA;284
MROCZA1221;MROCZA;KOåCIUSZKI;1†221
BRODNICA285;BRODNICA;PODG”RNA;285
TORU—5303;TORU—;WA£Y GEN. SIKORSKIEGO;5†303
RUMIA7374;RUMIA;;7†374
BYDGOSZCZ286;BYDGOSZCZ;KCY—SKA;286
TORU—287;TORU—;DEKERTA;287
SOKOLNIKI1782;SOKOLNIKI;BIEGANOWO;1†782
OKONEK7165;OKONEK;NIEPODLEG£OåCI;7†165
GNIEZNO288;GNIEZNO;POZNA—SKA;288
TORU—4158;TORU—;GRUDZI•DZKA;4†158
W£OC£AWEK289;W£OC£AWEK;TORU—SKA;289
WI•G7034;WI•G;;7†034
GRUDZI•DZ290;GRUDZI•DZ;PADEREWSKIEGO;290
K£ODAWA1791;K£ODAWA;GORZOWSKA;1†791
BYDGOSZCZ291;BYDGOSZCZ;REJEWSKIEGO;291
KRZANOWICE7166;KRZANOWICE;CEGIELNIANA;7†166
BYDGOSZCZ292;BYDGOSZCZ;WITEBSKA;292
NAK£O N/NOTECI•293;NAK£O N/NOTECI•;M£Y—SKA;293
SZCZECIN1222;SZCZECIN;ØO£NIERSKA;1†222
ALEKSANDR”W £”DZKI7005;ALEKSANDR”W £”DZKI;ZGIERSKA;7†005
£OMIANKI294;£OMIANKI;WARSZAWSKA;294
WARSZAWA295;WARSZAWA;MARYNARSKA;295
KRAK”W296;KRAK”W;J. LEA;296
KO£O1786;KO£O;D•BSKA;1†786
DZIA£OSZYN297;DZIA£OSZYN;WOJSKA POLSKIEGO;297
PI£A298;PI£A;PRZEMYS£OWA;298
PI£A299;PI£A;AL. WOJSKA POLSKIEGO;299
L BORK7167;L BORK;;7†167
KRAK”W1223;KRAK”W;KAPELANKA;1†223
BYDGOSZCZ300;BYDGOSZCZ;PRZEMYS£OWA;300
BYDGOSZCZ301;BYDGOSZCZ;TORU—SKA;301
TRZEBO—7168;TRZEBO—;;7†168
PI£A302;PI£A;AL.. POZNA—SKA;302
TORU—1787;TORU—;MAZOWIECKA;1†787
ØNIN303;ØNIN;FABRYCZNA;303
PI£A304;PI£A;AL.. NIEPODLEG£OåCI;304
BYDGOSZCZ305;BYDGOSZCZ;FORDO—SKA;305
INOWROC£AW306;INOWROC£AW;INOWROC£AW 3 SKR. POCZT. 13;306
åWIECIE307;åWIECIE;WIELKI KONOPAT;307
PRUSZCZ GDA—SKI7169;PRUSZCZ GDA—SKI;GRUNWALDZKA;7†169
G•BKI - ROBAKOWO308;G•BKI - ROBAKOWO;K”RNICKA;308
PRZEèMIEROWO309;PRZEèMIEROWO;RYNKOWA;309
BYDGOSZCZ310;BYDGOSZCZ;MI—SKA;310
INOWROC£AW7170;INOWROC£AW;KRUåLIWIECKA;7†170
BYDGOSZCZ311;BYDGOSZCZ;KIELECKA;311
PRZY£ KI312;PRZY£ KI;Biznesowa;312
NAK£O N/NOTECI•313;NAK£O N/NOTECI•;DOLNA;313
BYDGOSZCZ314;BYDGOSZCZ;WR”BLOWA;314
POZNA—315;POZNA—;SZCZEPANKOWO;315
KONIN316;KONIN;DWORCOWA;316
POZNA—317;POZNA—;LUTYCKA;317
BRODNICA318;BRODNICA;SIKORSKIEGO;318
BRODNICA319;BRODNICA;GEN. SIKORSKIEGO;319
BYDGOSZCZ320;BYDGOSZCZ;GRUNWALDZKA;320
SZUBIN321;SZUBIN;MICKIEWICZA;321
LUBIE— KUJAWSKI322;LUBIE— KUJAWSKI;22 lipca;322
W£OC£AWEK323;W£OC£AWEK;PRYM. S. WYSZY—SKIEGO;323
UJåCIE324;UJåCIE;HUTY SZK£A;324
åWIECIE325;åWIECIE;PO£UDNIOWA;325
TORU—326;TORU—;Ø”£KIEWSKIEGO;326
åWIECIE327;åWIECIE;PARKOWA;327
TORU—328;TORU—;M. SK£ODOWSKIEJ-CURIE;328
KOSZALIN7171;KOSZALIN;RUSZCZYCA;7†171
BYDGOSZCZ329;BYDGOSZCZ;ALEJE JANA PAW£A II;329
CHE£MØA330;CHE£MØA;BYDGOSKA;330
W£OC£AWEK7989;W£OC£AWEK;£ GSKA;7†989
BARCIN331;BARCIN;BARCIN WIEå;331
GDA—SK7172;GDA—SK;LEåNA G”RA;7†172
W•GROWIEC332;W•GROWIEC;KOåCIUSZKI;332
